OMRÅDE;KØN;ALDER;TID;CIVILSTAND;INDHOLD
Hele landet;Mænd;35 år;2020K4;Fraskilt;1616
Hele landet;Mænd;36 år;2020K4;Fraskilt;1848
Hele landet;Mænd;37 år;2020K4;Fraskilt;1987
Hele landet;Mænd;38 år;2020K4;Fraskilt;2404
Hele landet;Mænd;39 år;2020K4;Fraskilt;2524
Hele landet;Mænd;40 år;2020K4;Fraskilt;2973
Hele landet;Mænd;41 år;2020K4;Fraskilt;3497
Hele landet;Mænd;42 år;2020K4;Fraskilt;3884
Hele landet;Mænd;43 år;2020K4;Fraskilt;4321
Hele landet;Mænd;44 år;2020K4;Fraskilt;4860
Hele landet;Mænd;45 år;2020K4;Fraskilt;5502
Hele landet;Mænd;46 år;2020K4;Fraskilt;5705
Hele landet;Mænd;47 år;2020K4;Fraskilt;6124
Hele landet;Mænd;48 år;2020K4;Fraskilt;6628
Hele landet;Mænd;49 år;2020K4;Fraskilt;6727
Hele landet;Mænd;50 år;2020K4;Fraskilt;6637
Hele landet;Mænd;51 år;2020K4;Fraskilt;6809
Hele landet;Mænd;52 år;2020K4;Fraskilt;7383
Hele landet;Mænd;53 år;2020K4;Fraskilt;8189
Hele landet;Mænd;54 år;2020K4;Fraskilt;8455
Hele landet;Mænd;55 år;2020K4;Fraskilt;8188
Hele landet;Mænd;56 år;2020K4;Fraskilt;7727
Hele landet;Mænd;57 år;2020K4;Fraskilt;7441
Hele landet;Mænd;58 år;2020K4;Fraskilt;7095
Hele landet;Mænd;59 år;2020K4;Fraskilt;6563
Hele landet;Mænd;60 år;2020K4;Fraskilt;6466
Hele landet;Mænd;61 år;2020K4;Fraskilt;6063
Hele landet;Mænd;62 år;2020K4;Fraskilt;5815
Hele landet;Mænd;63 år;2020K4;Fraskilt;5529
Hele landet;Mænd;64 år;2020K4;Fraskilt;5316
Hele landet;Mænd;65 år;2020K4;Fraskilt;5221
Hele landet;Mænd;66 år;2020K4;Fraskilt;4904
Hele landet;Mænd;67 år;2020K4;Fraskilt;4817
Hele landet;Mænd;68 år;2020K4;Fraskilt;4500
Hele landet;Mænd;69 år;2020K4;Fraskilt;4367
Hele landet;Mænd;70 år;2020K4;Fraskilt;4257
Hele landet;Mænd;71 år;2020K4;Fraskilt;4209
Hele landet;Mænd;72 år;2020K4;Fraskilt;4157
Hele landet;Mænd;73 år;2020K4;Fraskilt;4201
Hele landet;Mænd;74 år;2020K4;Fraskilt;4079
Hele landet;Mænd;75 år;2020K4;Fraskilt;3773
Hele landet;Mænd;76 år;2020K4;Fraskilt;3222
Hele landet;Mænd;77 år;2020K4;Fraskilt;2720
Hele landet;Mænd;78 år;2020K4;Fraskilt;2476
Hele landet;Mænd;79 år;2020K4;Fraskilt;2003
Hele landet;Mænd;80 år;2020K4;Fraskilt;1839
Hele landet;Mænd;81 år;2020K4;Fraskilt;1512
Hele landet;Mænd;82 år;2020K4;Fraskilt;1355
Hele landet;Mænd;83 år;2020K4;Fraskilt;1088
Hele landet;Mænd;84 år;2020K4;Fraskilt;856
Hele landet;Mænd;85 år;2020K4;Fraskilt;774
Hele landet;Mænd;86 år;2020K4;Fraskilt;583
Hele landet;Mænd;87 år;2020K4;Fraskilt;467
Hele landet;Mænd;88 år;2020K4;Fraskilt;364
Hele landet;Mænd;89 år;2020K4;Fraskilt;274
Hele landet;Mænd;90 år;2020K4;Fraskilt;194
Hele landet;Mænd;91 år;2020K4;Fraskilt;157
Hele landet;Mænd;92 år;2020K4;Fraskilt;107
Hele landet;Mænd;93 år;2020K4;Fraskilt;75
Hele landet;Mænd;94 år;2020K4;Fraskilt;67
Hele landet;Mænd;95 år;2020K4;Fraskilt;40
Hele landet;Mænd;96 år;2020K4;Fraskilt;20
Hele landet;Mænd;97 år;2020K4;Fraskilt;10
