OMRÅDE;KØN;ALDER;TID;INDHOLD
Hele landet;Mænd;95 år;2008K1;569
Hele landet;Mænd;96 år;2008K1;370
Hele landet;Mænd;97 år;2008K1;243
Hele landet;Mænd;98 år;2008K1;141
Hele landet;Mænd;99 år;2008K1;79
Hele landet;Mænd;100 år;2008K1;43
Hele landet;Mænd;101 år;2008K1;25
Hele landet;Mænd;102 år;2008K1;20
Hele landet;Mænd;103 år;2008K1;10
Hele landet;Mænd;104 år;2008K1;1
Hele landet;Mænd;105 år;2008K1;3
Hele landet;Mænd;106 år;2008K1;1
Hele landet;Mænd;107 år;2008K1;0
Hele landet;Mænd;108 år;2008K1;0
Hele landet;Mænd;109 år;2008K1;0
Hele landet;Mænd;110 år;2008K1;0
Hele landet;Mænd;111 år;2008K1;0
Hele landet;Mænd;112 år;2008K1;0
Hele landet;Mænd;113 år;2008K1;0
Hele landet;Mænd;114 år;2008K1;0
Hele landet;Mænd;115 år;2008K1;0
Hele landet;Mænd;116 år;2008K1;0
Hele landet;Mænd;117 år;2008K1;0
Hele landet;Mænd;118 år;2008K1;0
Hele landet;Mænd;119 år;2008K1;0
Hele landet;Mænd;120 år;2008K1;0
Hele landet;Mænd;121 år;2008K1;0
Hele landet;Mænd;122 år;2008K1;0
Hele landet;Mænd;123 år;2008K1;0
Hele landet;Mænd;124 år;2008K1;0
Hele landet;Mænd;125 år;2008K1;0
Hele landet;Kvinder;I alt;2008K1;2763125
Hele landet;Kvinder;0 år;2008K1;31436
Hele landet;Kvinder;1 år;2008K1;31925
Hele landet;Kvinder;2 år;2008K1;31864
Hele landet;Kvinder;3 år;2008K1;31936
Hele landet;Kvinder;4 år;2008K1;31865
Hele landet;Kvinder;5 år;2008K1;31442
Hele landet;Kvinder;6 år;2008K1;32210
Hele landet;Kvinder;7 år;2008K1;33088
Hele landet;Kvinder;8 år;2008K1;32765
Hele landet;Kvinder;9 år;2008K1;32749
Hele landet;Kvinder;10 år;2008K1;33495
Hele landet;Kvinder;11 år;2008K1;33737
Hele landet;Kvinder;12 år;2008K1;34853
Hele landet;Kvinder;13 år;2008K1;35266
Hele landet;Kvinder;14 år;2008K1;34013
Hele landet;Kvinder;15 år;2008K1;34251
Hele landet;Kvinder;16 år;2008K1;32961
Hele landet;Kvinder;17 år;2008K1;32798
Hele landet;Kvinder;18 år;2008K1;31849
Hele landet;Kvinder;19 år;2008K1;30807
Hele landet;Kvinder;20 år;2008K1;30027
Hele landet;Kvinder;21 år;2008K1;30361
Hele landet;Kvinder;22 år;2008K1;30178
Hele landet;Kvinder;23 år;2008K1;29424
Hele landet;Kvinder;24 år;2008K1;29259
Hele landet;Kvinder;25 år;2008K1;29971
Hele landet;Kvinder;26 år;2008K1;30208
Hele landet;Kvinder;27 år;2008K1;32200
Hele landet;Kvinder;28 år;2008K1;32941
Hele landet;Kvinder;29 år;2008K1;34025
Hele landet;Kvinder;30 år;2008K1;33896
Hele landet;Kvinder;31 år;2008K1;35066
Hele landet;Kvinder;32 år;2008K1;38499
Hele landet;Kvinder;33 år;2008K1;37877
Hele landet;Kvinder;34 år;2008K1;37821
Hele landet;Kvinder;35 år;2008K1;39609
Hele landet;Kvinder;36 år;2008K1;38730
Hele landet;Kvinder;37 år;2008K1;37357
Hele landet;Kvinder;38 år;2008K1;37109
Hele landet;Kvinder;39 år;2008K1;38283
Hele landet;Kvinder;40 år;2008K1;41189
Hele landet;Kvinder;41 år;2008K1;44156
Hele landet;Kvinder;42 år;2008K1;42873
Hele landet;Kvinder;43 år;2008K1;41671
Hele landet;Kvinder;44 år;2008K1;41080
Hele landet;Kvinder;45 år;2008K1;38789
Hele landet;Kvinder;46 år;2008K1;37873
Hele landet;Kvinder;47 år;2008K1;37815
Hele landet;Kvinder;48 år;2008K1;36415
Hele landet;Kvinder;49 år;2008K1;36445
Hele landet;Kvinder;50 år;2008K1;36283
Hele landet;Kvinder;51 år;2008K1;36546
Hele landet;Kvinder;52 år;2008K1;35973
Hele landet;Kvinder;53 år;2008K1;35510
Hele landet;Kvinder;54 år;2008K1;35969
Hele landet;Kvinder;55 år;2008K1;35264
Hele landet;Kvinder;56 år;2008K1;34416
Hele landet;Kvinder;57 år;2008K1;35754
Hele landet;Kvinder;58 år;2008K1;35434
Hele landet;Kvinder;59 år;2008K1;36960
Hele landet;Kvinder;60 år;2008K1;39133
Hele landet;Kvinder;61 år;2008K1;39960
Hele landet;Kvinder;62 år;2008K1;38451
Hele landet;Kvinder;63 år;2008K1;36486
Hele landet;Kvinder;64 år;2008K1;33689
Hele landet;Kvinder;65 år;2008K1;31314
Hele landet;Kvinder;66 år;2008K1;27887
Hele landet;Kvinder;67 år;2008K1;26960
Hele landet;Kvinder;68 år;2008K1;25371
Hele landet;Kvinder;69 år;2008K1;25086
Hele landet;Kvinder;70 år;2008K1;24185
Hele landet;Kvinder;71 år;2008K1;22785
Hele landet;Kvinder;72 år;2008K1;21551
Hele landet;Kvinder;73 år;2008K1;20746
Hele landet;Kvinder;74 år;2008K1;19430
Hele landet;Kvinder;75 år;2008K1;19153
Hele landet;Kvinder;76 år;2008K1;18218
Hele landet;Kvinder;77 år;2008K1;17726
Hele landet;Kvinder;78 år;2008K1;16838
Hele landet;Kvinder;79 år;2008K1;16659
Hele landet;Kvinder;80 år;2008K1;15634
Hele landet;Kvinder;81 år;2008K1;15169
Hele landet;Kvinder;82 år;2008K1;14585
Hele landet;Kvinder;83 år;2008K1;13860
Hele landet;Kvinder;84 år;2008K1;12905
Hele landet;Kvinder;85 år;2008K1;11419
Hele landet;Kvinder;86 år;2008K1;11236
Hele landet;Kvinder;87 år;2008K1;10232
Hele landet;Kvinder;88 år;2008K1;7844
Hele landet;Kvinder;89 år;2008K1;7001
Hele landet;Kvinder;90 år;2008K1;5869
Hele landet;Kvinder;91 år;2008K1;4986
Hele landet;Kvinder;92 år;2008K1;3960
Hele landet;Kvinder;93 år;2008K1;3393
Hele landet;Kvinder;94 år;2008K1;2580
Hele landet;Kvinder;95 år;2008K1;1994
Hele landet;Kvinder;96 år;2008K1;1404
Hele landet;Kvinder;97 år;2008K1;1069
Hele landet;Kvinder;98 år;2008K1;699
Hele landet;Kvinder;99 år;2008K1;464
Hele landet;Kvinder;100 år;2008K1;245
Hele landet;Kvinder;101 år;2008K1;168
Hele landet;Kvinder;102 år;2008K1;101
Hele landet;Kvinder;103 år;2008K1;54
Hele landet;Kvinder;104 år;2008K1;34
Hele landet;Kvinder;105 år;2008K1;16
Hele landet;Kvinder;106 år;2008K1;9
Hele landet;Kvinder;107 år;2008K1;0
Hele landet;Kvinder;108 år;2008K1;1
Hele landet;Kvinder;109 år;2008K1;0
Hele landet;Kvinder;110 år;2008K1;0
Hele landet;Kvinder;111 år;2008K1;0
Hele landet;Kvinder;112 år;2008K1;0
Hele landet;Kvinder;113 år;2008K1;0
Hele landet;Kvinder;114 år;2008K1;0
Hele landet;Kvinder;115 år;2008K1;0
Hele landet;Kvinder;116 år;2008K1;0
Hele landet;Kvinder;117 år;2008K1;0
Hele landet;Kvinder;118 år;2008K1;0
Hele landet;Kvinder;119 år;2008K1;0
Hele landet;Kvinder;120 år;2008K1;0
Hele landet;Kvinder;121 år;2008K1;0
Hele landet;Kvinder;122 år;2008K1;0
Hele landet;Kvinder;123 år;2008K1;0
Hele landet;Kvinder;124 år;2008K1;0
Hele landet;Kvinder;125 år;2008K1;0
