OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;Mænd;50 år;Fraskilt;2008K1;5071
Hele landet;Mænd;51 år;Fraskilt;2008K1;5121
Hele landet;Mænd;52 år;Fraskilt;2008K1;5185
Hele landet;Mænd;53 år;Fraskilt;2008K1;5040
Hele landet;Mænd;54 år;Fraskilt;2008K1;5149
Hele landet;Mænd;55 år;Fraskilt;2008K1;5101
Hele landet;Mænd;56 år;Fraskilt;2008K1;5085
Hele landet;Mænd;57 år;Fraskilt;2008K1;5284
Hele landet;Mænd;58 år;Fraskilt;2008K1;5151
Hele landet;Mænd;59 år;Fraskilt;2008K1;5291
Hele landet;Mænd;60 år;Fraskilt;2008K1;5445
Hele landet;Mænd;61 år;Fraskilt;2008K1;5688
Hele landet;Mænd;62 år;Fraskilt;2008K1;5398
Hele landet;Mænd;63 år;Fraskilt;2008K1;4962
Hele landet;Mænd;64 år;Fraskilt;2008K1;4453
Hele landet;Mænd;65 år;Fraskilt;2008K1;4203
Hele landet;Mænd;66 år;Fraskilt;2008K1;3529
Hele landet;Mænd;67 år;Fraskilt;2008K1;3339
Hele landet;Mænd;68 år;Fraskilt;2008K1;2983
Hele landet;Mænd;69 år;Fraskilt;2008K1;2801
Hele landet;Mænd;70 år;Fraskilt;2008K1;2509
Hele landet;Mænd;71 år;Fraskilt;2008K1;2221
Hele landet;Mænd;72 år;Fraskilt;2008K1;2048
Hele landet;Mænd;73 år;Fraskilt;2008K1;1842
Hele landet;Mænd;74 år;Fraskilt;2008K1;1650
Hele landet;Mænd;75 år;Fraskilt;2008K1;1404
Hele landet;Mænd;76 år;Fraskilt;2008K1;1295
Hele landet;Mænd;77 år;Fraskilt;2008K1;1076
Hele landet;Mænd;78 år;Fraskilt;2008K1;1038
Hele landet;Mænd;79 år;Fraskilt;2008K1;887
Hele landet;Mænd;80 år;Fraskilt;2008K1;757
Hele landet;Mænd;81 år;Fraskilt;2008K1;678
Hele landet;Mænd;82 år;Fraskilt;2008K1;569
Hele landet;Mænd;83 år;Fraskilt;2008K1;493
Hele landet;Mænd;84 år;Fraskilt;2008K1;377
Hele landet;Mænd;85 år;Fraskilt;2008K1;325
Hele landet;Mænd;86 år;Fraskilt;2008K1;314
Hele landet;Mænd;87 år;Fraskilt;2008K1;209
Hele landet;Mænd;88 år;Fraskilt;2008K1;165
Hele landet;Mænd;89 år;Fraskilt;2008K1;125
Hele landet;Mænd;90 år;Fraskilt;2008K1;89
Hele landet;Mænd;91 år;Fraskilt;2008K1;86
Hele landet;Mænd;92 år;Fraskilt;2008K1;56
Hele landet;Mænd;93 år;Fraskilt;2008K1;40
Hele landet;Mænd;94 år;Fraskilt;2008K1;25
Hele landet;Mænd;95 år;Fraskilt;2008K1;22
Hele landet;Mænd;96 år;Fraskilt;2008K1;15
Hele landet;Mænd;97 år;Fraskilt;2008K1;11
Hele landet;Mænd;98 år;Fraskilt;2008K1;1
Hele landet;Mænd;99 år;Fraskilt;2008K1;4
Hele landet;Mænd;100 år;Fraskilt;2008K1;0
Hele landet;Mænd;101 år;Fraskilt;2008K1;0
Hele landet;Mænd;102 år;Fraskilt;2008K1;1
Hele landet;Mænd;103 år;Fraskilt;2008K1;0
Hele landet;Mænd;104 år;Fraskilt;2008K1;0
Hele landet;Mænd;105 år;Fraskilt;2008K1;0
Hele landet;Mænd;106 år;Fraskilt;2008K1;0
Hele landet;Mænd;107 år;Fraskilt;2008K1;0
Hele landet;Mænd;108 år;Fraskilt;2008K1;0
Hele landet;Mænd;109 år;Fraskilt;2008K1;0
Hele landet;Mænd;110 år;Fraskilt;2008K1;0
Hele landet;Mænd;111 år;Fraskilt;2008K1;0
Hele landet;Mænd;112 år;Fraskilt;2008K1;0
Hele landet;Mænd;113 år;Fraskilt;2008K1;0
Hele landet;Mænd;114 år;Fraskilt;2008K1;0
Hele landet;Mænd;115 år;Fraskilt;2008K1;0
Hele landet;Mænd;116 år;Fraskilt;2008K1;0
Hele landet;Mænd;117 år;Fraskilt;2008K1;0
Hele landet;Mænd;118 år;Fraskilt;2008K1;0
Hele landet;Mænd;119 år;Fraskilt;2008K1;0
Hele landet;Mænd;120 år;Fraskilt;2008K1;0
Hele landet;Mænd;121 år;Fraskilt;2008K1;0
Hele landet;Mænd;122 år;Fraskilt;2008K1;0
Hele landet;Mænd;123 år;Fraskilt;2008K1;0
Hele landet;Mænd;124 år;Fraskilt;2008K1;0
Hele landet;Mænd;125 år;Fraskilt;2008K1;0
Hele landet;Kvinder;I alt;Fraskilt;2008K1;242298
Hele landet;Kvinder;0 år;Fraskilt;2008K1;0
Hele landet;Kvinder;1 år;Fraskilt;2008K1;0
Hele landet;Kvinder;2 år;Fraskilt;2008K1;0
Hele landet;Kvinder;3 år;Fraskilt;2008K1;0
Hele landet;Kvinder;4 år;Fraskilt;2008K1;0
Hele landet;Kvinder;5 år;Fraskilt;2008K1;0
Hele landet;Kvinder;6 år;Fraskilt;2008K1;0
Hele landet;Kvinder;7 år;Fraskilt;2008K1;0
